,Time,Number_of_Floc
0,14:00:20,12
1,14:00:21,12
2,14:00:22,12
3,14:00:23,12
4,14:00:24,12
5,14:00:25,12
6,14:00:26,12
7,14:00:27,13
8,14:00:28,12
9,14:00:29,13
10,14:00:31,16
11,14:00:32,15
12,14:00:33,14
13,14:00:34,11
14,14:00:34,15
15,14:00:35,16
16,14:00:36,19
17,14:00:37,11
18,14:00:38,16
19,14:00:39,18
20,14:00:40,20
21,14:00:41,15
22,14:00:42,12
23,14:00:43,12
24,14:00:44,14
25,14:00:45,16
26,14:00:47,13
27,14:00:48,13
28,14:00:49,17
29,14:00:50,15
30,14:00:51,19
31,14:00:52,20
32,14:00:53,18
33,14:00:54,17
34,14:00:55,19
35,14:00:56,16
36,14:00:57,20
37,14:00:58,13
38,14:00:59,10
39,14:01:00,13
40,14:01:01,10
41,14:01:02,14
42,14:01:03,18
43,14:01:04,14
44,14:01:05,19
45,14:01:05,15
46,14:01:06,20
47,14:01:07,18
48,14:01:08,27
49,14:01:09,24
50,14:01:10,28
51,14:01:11,28
52,14:01:13,31
53,14:01:14,44
54,14:01:15,43
55,14:01:16,43
56,14:01:16,48
57,14:01:17,42
58,14:01:18,44
59,14:01:19,42
60,14:01:20,42
61,14:01:21,33
62,14:01:22,48
63,14:01:23,49
64,14:01:24,35
65,14:01:25,27
66,14:01:26,34
67,14:01:27,28
68,14:01:28,31
69,14:01:29,28
70,14:01:30,23
71,14:01:31,28
72,14:01:32,21
73,14:01:33,19
74,14:01:34,19
75,14:01:35,13
76,14:01:36,20
77,14:01:37,18
78,14:01:38,12
79,14:01:39,17
80,14:01:40,19
81,14:01:41,15
