,Time,  NoF
0,15:26:35,12
1,15:26:36,12
2,15:26:37,12
3,15:26:38,12
4,15:26:39,12
5,15:26:40,12
6,15:26:41,13
7,15:26:42,12
8,15:26:43,13
9,15:26:44,16
10,15:26:45,15
11,15:26:46,14
12,15:26:47,11
13,15:26:48,15
14,15:26:49,16
15,15:26:50,19
16,15:26:51,11
17,15:26:52,18
18,15:26:53,20
19,15:26:54,15
20,15:26:55,12
21,15:26:56,12
22,15:26:57,14
23,15:26:58,16
24,15:26:59,13
25,15:27:00,13
26,15:27:01,17
27,15:27:02,15
28,15:27:03,19
29,15:27:04,20
30,15:27:05,18
31,15:27:06,17
32,15:27:07,19
33,15:27:08,20
34,15:27:09,13
35,15:27:10,10
36,15:27:11,13
37,15:27:12,10
38,15:27:13,14
39,15:27:14,18
40,15:27:15,14
41,15:27:16,19
42,15:27:17,15
43,15:27:18,20
44,15:27:19,18
45,15:27:20,27
46,15:27:21,24
47,15:27:22,28
48,15:27:23,31
49,15:27:24,44
50,15:27:25,43
51,15:27:26,43
52,15:27:27,48
53,15:27:28,42
54,15:27:29,44
55,15:27:30,42
56,15:27:31,42
57,15:27:32,33
58,15:27:33,48
59,15:27:34,49
60,15:27:35,35
61,15:27:36,27
62,15:27:37,34
63,15:27:38,28
64,15:27:39,31
65,15:27:39,28
66,15:27:40,23
67,15:27:41,28
68,15:27:42,21
69,15:27:43,19
70,15:27:44,19
71,15:27:45,13
72,15:27:46,20
73,15:27:47,18
74,15:27:48,12
75,15:27:49,17
76,15:27:50,19
77,15:27:51,15
78,15:27:52,16
79,15:27:53,18
80,15:27:54,12
81,15:27:55,16
82,15:27:56,11
83,15:27:57,17
84,15:27:58,20
85,15:27:59,14
86,15:28:00,26
87,15:28:01,18
88,15:28:02,17
89,15:28:03,21
90,15:28:04,22
91,15:28:05,21
92,15:28:06,25
93,15:28:07,27
94,15:28:08,36
95,15:28:09,30
96,15:28:10,41
97,15:28:11,50
98,15:28:12,53
99,15:28:13,44
100,15:28:14,56
101,15:28:15,41
102,15:28:16,42
103,15:28:17,48
104,15:28:18,48
105,15:28:19,40
106,15:28:20,37
107,15:28:21,26
108,15:28:22,42
109,15:28:23,29
110,15:28:24,39
111,15:28:25,31
112,15:28:26,26
113,15:28:27,28
114,15:28:28,26
115,15:28:29,23
116,15:28:30,22
117,15:28:31,22
118,15:28:32,18
119,15:28:33,29
120,15:28:34,15
121,15:28:35,30
122,15:28:36,21
123,15:28:37,20
124,15:28:38,20
125,15:28:39,19
126,15:28:40,15
127,15:28:41,20
128,15:28:42,15
129,15:28:43,17
130,15:28:44,17
131,15:28:45,19
132,15:28:46,19
133,15:28:47,18
134,15:28:48,15
135,15:28:49,23
136,15:28:50,18
137,15:28:51,24
138,15:28:52,19
139,15:28:53,19
140,15:28:54,23
141,15:28:55,26
142,15:28:56,20
143,15:28:57,17
